id	method	path	status	title	domain	scope	risk	pagination	deployment	verification
454273347e0	GET	/openapi/v2.0/flight-alerts	released	查询飞行任务告警记录	flight	project	low	vendor-query	cn-public-cloud	documented
454273351e0	POST	/openapi/v2.0/project/sts-token	released	获取项目存储上传 STS 凭证	security	project	medium	none	cn-public-cloud	documented
454273353e0	POST	/openapi/v2.0/flight-task/sn-decrypt	released	SN 解密回显	security	project	high	none	cn-public-cloud	documented
454273356e0	GET	/openapi/v2.0/organizations/{uuid}/users	released	获取组织用户列表	organization	organization	low	vendor-query	cn-public-cloud	documented
454273357e0	GET	/openapi/v2.0/organizations/{uuid}/users/current	released	获取当前用户组织角色	organization	organization	low	none	cn-public-cloud	documented
454273358e0	GET	/openapi/v2.0/organizations/{uuid}/roles	released	获取角色列表	organization	organization	low	vendor-query	cn-public-cloud	documented
454273359e0	GET	/openapi/v2.0/organizations/{uuid}/permissions	released	获取权限列表	organization	organization	low	vendor-query	cn-public-cloud	documented
454273360e0	GET	/openapi/v2.0/organizations/{uuid}/roles/permissions	released	获取角色权限	organization	organization	low	vendor-query	cn-public-cloud	documented
454273364e0	GET	/openapi/v2.0/project	released	获取组织下的项目列表	project	organization	low	page-until-short	cn-public-cloud	live-read
454273409e0	GET	/openapi/v2.0/organizations/{uuid}/manage-devices/cmds/control/status	released	查询设备控制权状态	control	organization	low	vendor-query	cn-public-cloud	documented
454273416e0	GET	/openapi/v2.0/organizations/{uuid}/manage-devices/cmds	released	查询设备指令执行情况	control	organization	low	vendor-query	cn-public-cloud	documented
454273417e0	POST	/openapi/v2.0/device/{device_sn}/command	released	实时控制指令下发	control	device	critical	none	cn-public-cloud	documented
454273421e0	GET	/openapi/v2.0/workspaces/{workspace_id}/groups/tcas	released	查询起降协调区 TCA 实时状态	control	workspace	low	vendor-query	cn-public-cloud	documented
454273423e0	GET	/openapi/v2.0/organizations/{uuid}/devices/{sn}/streams	released	获取组织设备的录制任务	live	organization-device	low	vendor-query	cn-public-cloud	documented
454273432e0	POST	/openapi/v2.0/flight-task	released	创建飞行任务	flight	project	critical	none	cn-public-cloud	documented
454273433e0	GET	/openapi/v2.0/workspaces/{workspace_id}/flight-tasks/recent	released	获取最近飞行任务列表	flight	workspace	low	vendor-query	cn-public-cloud	documented
